Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,EfficientNet B4 Best Param,EfficientNet B4 Val Acc,EfficientNet B4 Test Acc,EfficientNet B4 F1 score,EfficientNet B4 Precision,EfficientNet B4 Recall,EfficientNet B4 True Neg.,EfficientNet B4 False Pos.,EfficientNet B4 False Neg.,EfficientNet B4 True Pos.,ResNet50V2 Best Param,ResNet50V2 Val Acc,ResNet50V2 Test Acc,ResNet50V2 F1 score,ResNet50V2 Precision,ResNet50V2 Recall,ResNet50V2 True Neg.,ResNet50V2 False Pos.,ResNet50V2 False Neg.,ResNet50V2 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,ResNet152 Best Param,ResNet152 Val Acc,ResNet152 Test Acc,ResNet152 F1 score,ResNet152 Precision,ResNet152 Recall,ResNet152 True Neg.,ResNet152 False Pos.,ResNet152 False Neg.,ResNet152 True Pos.,ResNet152V2 Best Param,ResNet152V2 Val Acc,ResNet152V2 Test Acc,ResNet152V2 F1 score,ResNet152V2 Precision,ResNet152V2 Recall,ResNet152V2 True Neg.,ResNet152V2 False Pos.,ResNet152V2 False Neg.,ResNet152V2 True Pos.,EfficientNetB0 Best Param,EfficientNetB0 Val Acc,EfficientNetB0 Test Acc,EfficientNetB0 F1 score,EfficientNetB0 Precision,EfficientNetB0 Recall,EfficientNetB0 True Neg.,EfficientNetB0 False Pos.,EfficientNetB0 False Neg.,EfficientNetB0 True Pos.,EfficientNetB7 Best Param,EfficientNetB7 Val Acc,EfficientNetB7 Test Acc,EfficientNetB7 F1 score,EfficientNetB7 Precision,EfficientNetB7 Recall,EfficientNetB7 True Neg.,EfficientNetB7 False Pos.,EfficientNetB7 False Neg.,EfficientNetB7 True Pos.,IncResNetV2 Best Param,IncResNetV2 Val Acc,IncResNetV2 Test Acc,IncResNetV2 F1 score,IncResNetV2 Precision,IncResNetV2 Recall,IncResNetV2 True Neg.,IncResNetV2 False Pos.,IncResNetV2 False Neg.,IncResNetV2 True Pos.,FeatSpaceEnsNet 3: ResNet50-ResNet101 Best Param,FeatSpaceEnsNet 3: ResNet50-ResNet101 Val Acc,FeatSpaceEnsNet 3: ResNet50-ResNet101 Test Acc,FeatSpaceEnsNet 3: ResNet50-ResNet101 F1 score,FeatSpaceEnsNet 3: ResNet50-ResNet101 Precision,FeatSpaceEnsNet 3: ResNet50-ResNet101 Recall,FeatSpaceEnsNet 3: ResNet50-ResNet101 True Neg.,FeatSpaceEnsNet 3: ResNet50-ResNet101 False Pos.,FeatSpaceEnsNet 3: ResNet50-ResNet101 False Neg.,FeatSpaceEnsNet 3: ResNet50-ResNet101 True Pos.,AvgEnsNet 2: ResNet50 & InceptionResNetV2 Best Param,AvgEnsNet 2: ResNet50 & InceptionResNetV2 Val Acc,AvgEnsNet 2: ResNet50 & InceptionResNetV2 Test Acc,AvgEnsNet 2: ResNet50 & InceptionResNetV2 F1 score,AvgEnsNet 2: ResNet50 & InceptionResNetV2 Precision,AvgEnsNet 2: ResNet50 & InceptionResNetV2 Recall,AvgEnsNet 2: ResNet50 & InceptionResNetV2 True Neg.,AvgEnsNet 2: ResNet50 & InceptionResNetV2 False Pos.,AvgEnsNet 2: ResNet50 & InceptionResNetV2 False Neg.,AvgEnsNet 2: ResNet50 & InceptionResNetV2 True Pos.,HybridEnsNet 1 Best Param,HybridEnsNet 1 Val Acc,HybridEnsNet 1 Test Acc,HybridEnsNet 1 F1 score,HybridEnsNet 1 Precision,HybridEnsNet 1 Recall,HybridEnsNet 1 True Neg.,HybridEnsNet 1 False Pos.,HybridEnsNet 1 False Neg.,HybridEnsNet 1 True Pos.,HybridEnsNet 2 Best Param,HybridEnsNet 2 Val Acc,HybridEnsNet 2 Test Acc,HybridEnsNet 2 F1 score,HybridEnsNet 2 Precision,HybridEnsNet 2 Recall,HybridEnsNet 2 True Neg.,HybridEnsNet 2 False Pos.,HybridEnsNet 2 False Neg.,HybridEnsNet 2 True Pos.,HybridEnsNet 3 Best Param,HybridEnsNet 3 Val Acc,HybridEnsNet 3 Test Acc,HybridEnsNet 3 F1 score,HybridEnsNet 3 Precision,HybridEnsNet 3 Recall,HybridEnsNet 3 True Neg.,HybridEnsNet 3 False Pos.,HybridEnsNet 3 False Neg.,HybridEnsNet 3 True Pos.,HybridEnsNet 4 Best Param,HybridEnsNet 4 Val Acc,HybridEnsNet 4 Test Acc,HybridEnsNet 4 F1 score,HybridEnsNet 4 Precision,HybridEnsNet 4 Recall,HybridEnsNet 4 True Neg.,HybridEnsNet 4 False Pos.,HybridEnsNet 4 False Neg.,HybridEnsNet 4 True Pos.,HybridEnsNet 5 Best Param,HybridEnsNet 5 Val Acc,HybridEnsNet 5 Test Acc,HybridEnsNet 5 F1 score,HybridEnsNet 5 Precision,HybridEnsNet 5 Recall,HybridEnsNet 5 True Neg.,HybridEnsNet 5 False Pos.,HybridEnsNet 5 False Neg.,HybridEnsNet 5 True Pos.
0,{'logisticregression__C': 0.0001},82.25,82.64,0.83,0.83,0.83,119.0,25.0,25.0,119.0,{'logisticregression__C': 0.0001},82.68,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,{'logisticregression__C': 0.0005},82.68,81.94,0.82,0.82,0.82,124.0,20.0,32.0,112.0,{'logisticregression__C': 0.0001},79.22,78.82,0.79,0.79,0.79,110.0,34.0,27.0,117.0,{'logisticregression__C': 0.0001},86.58,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0,{'logisticregression__C': 0.001},81.39,82.99,0.83,0.83,0.83,121.0,23.0,26.0,118.0,{'logisticregression__C': 0.0005},83.55,80.56,0.81,0.81,0.81,119.0,25.0,31.0,113.0,{'logisticregression__C': 0.001},87.01,81.94,0.82,0.82,0.82,120.0,24.0,28.0,116.0,{'logisticregression__C': 0.0001},82.68,79.86,0.8,0.8,0.8,114.0,30.0,28.0,116.0,{'logisticregression__C': 0.0005},84.42,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,{'logisticregression__C': 0.0001},86.15,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,Ensemble,85.28,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,85.71,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,86.58,83.33,0.83,0.83,0.83,121.0,23.0,25.0,119.0,Ensemble,86.15,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,Ensemble,85.71,84.38,0.84,0.84,0.84,122.0,22.0,23.0,121.0,Ensemble,87.01,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0
1,{'logisticregression__C': 0.0005},81.82,81.6,0.82,0.82,0.82,117.0,27.0,26.0,118.0,{'logisticregression__C': 0.0001},80.95,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.001},83.98,82.29,0.82,0.82,0.82,121.0,23.0,28.0,116.0,{'logisticregression__C': 0.0001},78.35,79.51,0.79,0.8,0.8,106.0,38.0,21.0,123.0,{'logisticregression__C': 0.0005},83.55,84.38,0.84,0.84,0.84,123.0,21.0,24.0,120.0,{'logisticregression__C': 0.0005},83.12,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.0001},78.79,79.17,0.79,0.79,0.79,118.0,26.0,34.0,110.0,{'logisticregression__C': 0.0001},84.42,79.86,0.8,0.8,0.8,114.0,30.0,28.0,116.0,{'logisticregression__C': 0.0005},84.42,80.21,0.8,0.8,0.8,115.0,29.0,28.0,116.0,{'logisticregression__C': 0.0001},80.52,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,{'logisticregression__C': 0.0005},85.28,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,Ensemble,83.98,84.38,0.84,0.84,0.84,123.0,21.0,24.0,120.0,Ensemble,84.85,83.68,0.84,0.84,0.84,119.0,25.0,22.0,122.0,Ensemble,84.42,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,Ensemble,85.28,84.38,0.84,0.84,0.84,119.0,25.0,20.0,124.0,Ensemble,85.71,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,Ensemble,84.85,84.03,0.84,0.84,0.84,122.0,22.0,24.0,120.0
2,{'logisticregression__C': 0.0001},84.42,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},82.68,81.6,0.82,0.82,0.82,118.0,26.0,27.0,117.0,{'logisticregression__C': 0.001},83.12,83.33,0.83,0.83,0.83,124.0,20.0,28.0,116.0,{'logisticregression__C': 0.0001},80.95,80.56,0.8,0.81,0.81,107.0,37.0,19.0,125.0,{'logisticregression__C': 0.001},84.42,84.72,0.85,0.85,0.85,127.0,17.0,27.0,117.0,{'logisticregression__C': 0.001},82.68,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0001},77.92,80.56,0.81,0.81,0.81,118.0,26.0,30.0,114.0,{'logisticregression__C': 0.0001},83.12,82.64,0.83,0.83,0.83,120.0,24.0,26.0,118.0,{'logisticregression__C': 0.0001},81.39,81.6,0.82,0.82,0.82,114.0,30.0,23.0,121.0,{'logisticregression__C': 0.0001},85.71,82.29,0.82,0.82,0.82,120.0,24.0,27.0,117.0,{'logisticregression__C': 0.001},85.28,84.38,0.84,0.84,0.84,120.0,24.0,21.0,123.0,Ensemble,85.28,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,Ensemble,84.85,83.68,0.84,0.84,0.84,121.0,23.0,24.0,120.0,Ensemble,85.71,84.72,0.85,0.85,0.85,123.0,21.0,23.0,121.0,Ensemble,86.15,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,Ensemble,86.15,85.07,0.85,0.85,0.85,123.0,21.0,22.0,122.0,Ensemble,86.15,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0
3,{'logisticregression__C': 0.001},82.68,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0001},82.25,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0,{'logisticregression__C': 0.0005},82.68,82.64,0.83,0.83,0.83,121.0,23.0,27.0,117.0,{'logisticregression__C': 0.001},78.35,79.51,0.79,0.8,0.8,108.0,36.0,23.0,121.0,{'logisticregression__C': 0.0005},83.55,83.33,0.83,0.83,0.83,121.0,23.0,25.0,119.0,{'logisticregression__C': 0.001},82.68,81.94,0.82,0.82,0.82,120.0,24.0,28.0,116.0,{'logisticregression__C': 0.0001},78.79,78.47,0.78,0.79,0.78,118.0,26.0,36.0,108.0,{'logisticregression__C': 0.001},83.98,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,{'logisticregression__C': 0.0001},79.65,80.56,0.81,0.81,0.81,111.0,33.0,23.0,121.0,{'logisticregression__C': 0.0001},80.95,84.03,0.84,0.84,0.84,123.0,21.0,25.0,119.0,{'logisticregression__C': 0.001},84.42,84.38,0.84,0.85,0.84,117.0,27.0,18.0,126.0,Ensemble,83.55,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,Ensemble,84.42,83.68,0.84,0.84,0.84,116.0,28.0,19.0,125.0,Ensemble,85.28,84.03,0.84,0.84,0.84,118.0,26.0,20.0,124.0,Ensemble,86.58,83.33,0.83,0.83,0.83,117.0,27.0,21.0,123.0,Ensemble,84.85,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,Ensemble,85.28,82.99,0.83,0.83,0.83,116.0,28.0,21.0,123.0
4,{'logisticregression__C': 0.0001},84.85,84.72,0.85,0.85,0.85,121.0,23.0,21.0,123.0,{'logisticregression__C': 0.001},83.55,81.25,0.81,0.81,0.81,114.0,30.0,24.0,120.0,{'logisticregression__C': 0.0005},84.42,79.51,0.8,0.8,0.8,117.0,27.0,32.0,112.0,{'logisticregression__C': 0.0005},80.52,77.43,0.77,0.78,0.77,106.0,38.0,27.0,117.0,{'logisticregression__C': 0.0005},85.28,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,{'logisticregression__C': 0.0005},84.42,80.56,0.81,0.81,0.81,120.0,24.0,32.0,112.0,{'logisticregression__C': 0.0001},78.35,78.12,0.78,0.78,0.78,116.0,28.0,35.0,109.0,{'logisticregression__C': 0.0001},84.85,82.64,0.83,0.83,0.83,117.0,27.0,23.0,121.0,{'logisticregression__C': 0.0001},85.28,80.21,0.8,0.8,0.8,113.0,31.0,26.0,118.0,{'logisticregression__C': 0.0005},80.52,82.99,0.83,0.83,0.83,118.0,26.0,23.0,121.0,{'logisticregression__C': 0.001},85.71,85.42,0.85,0.85,0.85,123.0,21.0,21.0,123.0,Ensemble,83.12,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,Ensemble,85.28,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,Ensemble,85.71,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0,Ensemble,86.15,85.07,0.85,0.85,0.85,121.0,23.0,20.0,124.0,Ensemble,87.45,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0,Ensemble,87.88,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0
5,{'logisticregression__C': 0.0005},87.45,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,{'logisticregression__C': 0.001},81.82,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0,{'logisticregression__C': 0.0001},82.25,81.6,0.82,0.82,0.82,119.0,25.0,28.0,116.0,{'logisticregression__C': 0.0001},80.95,79.51,0.79,0.8,0.8,108.0,36.0,23.0,121.0,{'logisticregression__C': 0.0005},86.58,82.64,0.83,0.83,0.83,121.0,23.0,27.0,117.0,{'logisticregression__C': 0.001},87.45,80.21,0.8,0.8,0.8,118.0,26.0,31.0,113.0,{'logisticregression__C': 0.0001},80.95,79.17,0.79,0.79,0.79,117.0,27.0,33.0,111.0,{'logisticregression__C': 0.0005},83.55,81.94,0.82,0.82,0.82,117.0,27.0,25.0,119.0,{'logisticregression__C': 0.001},78.35,82.29,0.82,0.82,0.82,117.0,27.0,24.0,120.0,{'logisticregression__C': 0.0001},83.55,82.99,0.83,0.83,0.83,120.0,24.0,25.0,119.0,{'logisticregression__C': 0.0005},85.71,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,88.31,82.64,0.83,0.83,0.83,118.0,26.0,24.0,120.0,Ensemble,86.58,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,87.45,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,Ensemble,87.88,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,Ensemble,88.74,84.03,0.84,0.84,0.84,121.0,23.0,23.0,121.0,Ensemble,88.74,83.68,0.84,0.84,0.84,119.0,25.0,22.0,122.0
